118,Holy White Hounds,club,fr,001,001,time slot,0
119,Luke Bell,club,fr,001,001,time slot,0
120,Whitney,club,fr,001,001,time slot,0
121,Andrew Combs,club,fr,001,001,time slot,0
122,Mothers,club,fr,001,001,time slot,0
123,Powers,club,fr,001,001,time slot,0
124,Public Access TV,club,fr,001,001,time slot,0
125,Henry Wagons,club,fr,001,001,time slot,0
126,Firekid,disco,fr,001,001,time slot,0
127,Lane 8,disco,fr,001,001,time slot,0
128,Tiki Disco,disco,fr,001,001,time slot,0
129,Amasa Hines,club,sa,001,001,time slot,0
130,Aubrie Sellers,club,sa,001,001,time slot,0
131,Cardiknox,club,sa,001,001,time slot,0
132,Dylan LeBlanc,club,sa,001,001,time slot,0
133,Grace Mitchell,club,sa,001,001,time slot,0
134,Grandma Sprrow,club,sa,001,001,time slot,0
135,Promised Land Sound,club,sa,001,001,time slot,0
136,Issac Gracie,club,sa,001,001,time slot,0
137,Joe Fertler & the Rainbow Seekers,club,sa,001,001,time slot,0
138,Lawrence,club,sa,001,001,time slot,0
139,The Record Company,club,sa,001,001,time slot,0
140,Sir the Baptist,club,sa,001,001,time slot,0
141,NSR,disco,sa,001,001,time slot,0
142,Red Bull Music Academy,disco,sa,001,001,time slot,0
143,Maren Morris,club,su,001,001,time slot,0
144,Sun Club,club,su,001,001,time slot,0
145,Sunflower Bean,club,su,001,001,time slot,0
146,Finish Ticket,club,su,001,001,time slot,0
147,Dawn,club,su,001,001,time slot,0
148,Korey Dane,club,su,001,001,time slot,0
149,Polly A.,club,su,001,001,time slot,0
150,Swim Deep,club,su,001,001,time slot,0
151,Austin Plaine,club,su,001,001,time slot,0
152,Margaret Glaspy,club,sa,001,001,time slot,0
